X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-76.1166494999957,43.0714619996424,1915,2018/06/27,2300,2300,300 VILLAGE DR,AGGRAVATED ASSAULT,
-76.1166494999957,43.0714619996424,1916,2018/06/27,1735,1735,300 VILLAGE DR,BURGLARY,
-76.123659319265,43.045377760241,1917,2018/05/23,0808,0808,400 CHERRY ST,LARCENY,
-76.147293670179,43.0507939274267,1918,2018/05/23,1417,1417,400 ERIE BLVD E,LARCENY,
-76.1376014998118,43.0222320004274,1919,2018/06/28,0255,0255,100 CLIFFSIDE DR,LARCENY,
-76.1518350000396,43.04939400001,1920,2018/06/28,1528,1555,100 E  WASHINGTON ST,LARCENY,
-76.1510204997179,43.044687000192,1921,2018/06/28,1013,1013,100 ONONDAGA AV,BURGLARY,
-76.1934011228831,43.0323602482976,1922,2018/05/23,2001,2001,4700 ONONDAGA BLVD,LARCENY,
-76.1442345005792,43.0415549998065,1923,2018/06/28,2300,2301,1000 S  MCBRIDE ST,AGGRAVATED ASSAULT,
-76.1443774267129,43.0566903896154,1924,2018/05/23,1200,0700,600 CATHERINE ST,LARCENY,
-76.1484420005568,43.0172639997565,1925,2018/06/28,0100,0500,2300 MIDLAND AV,MV THEFT,
-76.152305374487,43.0486440505545,1926,2018/05/23,1708,1708,300 S  SALINA ST,LARCENY,
-76.1568056442742,43.0099461471601,1927,2018/05/24,1101,1101,100 VALLEY VIEW DR,AGGRAVATED ASSAULT,
-76.1193540002036,43.0384139998277,1928,2018/06/28,1330,1330,700 WESTCOTT ST,LARCENY,
-76.1825159997003,43.038099000325,1929,2018/06/29,1600,1600,100 DE PALMA AV,BURGLARY,
-76.1570414996746,43.0229610001126,1930,2018/06/29,0100,0106,100 RANDALL AV,AGGRAVATED ASSAULT,
-76.1590871381099,43.0371625073202,1931,2018/05/24,0804,0804,100 WHITE ST,BURGLARY,
-76.1431995001779,43.0665389997109,1932,2018/06/29,1700,0800,1200 BUTTERNUT ST,LARCENY,
,,1933,2018/05/24,1757,1757,0 DESTINY USA DR,LARCENY,
-76.1807812444224,43.046682365014,1934,2018/05/24,0600,1800,200 BRYANT AV,BURGLARY,
-76.135005000449,43.0172010002362,1935,2018/06/29,2338,2338,400 IVY RIDGE RD,ROBBERY,
,,1936,2018/05/21,2000,2010,0 690 EB,AGGRAVATED ASSAULT,
-76.153054500258,43.0606889997628,1937,2018/06/29,0300,0400,700 N  SALINA ST,ROBBERY,
-76.1039998841633,43.0534777826209,1938,2018/05/24,2014,2014,2500 ERIE BLVD E,LARCENY,
-76.1543492128788,43.0600743486131,1939,2018/05/24,1057,1057,1000 N  STATE ST,LARCENY,
-76.1441579997686,43.0401870000899,1940,2018/06/30,0136,0136,1100 S  MCBRIDE ST,AGGRAVATED ASSAULT,
-76.1613232035233,43.0334365415256,1941,2018/05/24,2236,2236,500 BELLEVUE AV,ROBBERY,
