X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477393.88901098,5322389.1310184,2024/01/12 05:00:00+00,108,1727,600 KIRKPATRICK ST     ,,From Building,BURGLARY,43.068402,-76.153725,123
-8477781.61490874,5320721.63373806,2024/01/10 05:00:00+00,1630,2205,600 N FRANKLIN ST     ,,From Motor Vehicle,LARCENY,43.0574580000001,-76.157208001,124
-8476079.77912009,5312792.84070245,2024/01/15 05:00:00+00,339,439,200 RANDOLPH ST     ,,Motor Vehicle,MV THEFT,43.005393579,-76.14192015,125
-8479620.05618786,5322321.931704,2024/01/02 05:00:00+00,1717,1717,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,126
-8477210.04487194,5321030.15314467,2024/02/18 05:00:00+00,520,520,600 N SALINA ST     ,,From Building,BURGLARY,43.0594830000001,-76.1520735,127
-8478409.79057264,5315234.4327744,2024/02/03 05:00:00+00,843,843,100 CHARMOUTH DR     ,,,BURGLARY,43.0214310000001,-76.1628509989999,128
-8478042.10240587,5317965.97896355,2024/01/21 05:00:00+00,2130,2130,600 ONONDAGA AV   ,Yes,From Building,BURGLARY,43.039368,-76.159548,129
-8475009.78953293,5316023.33667224,2024/02/21 05:00:00+00,234,234,200 ROBERT DR   ,,Motor Vehicle,MV THEFT,43.0266119630001,-76.13230827,130
-8477232.58706882,5324019.89118283,2024/02/07 05:00:00+00,1553,1553,0 SEVENTH NORTH ST & TURTLE ST  ,,,AGGRAVATED ASSAULT,43.079103,-76.152276,131
-8473961.96476957,5320173.17994887,2024/02/13 05:00:00+00,2200,1300,1200 BURNET AV   ,,Motor Vehicle,MV THEFT,43.053858,-76.1228955,132
,,2024/02/11 05:00:00+00,727,727,0 UNKNOWN    ,,,AGGRAVATED ASSAULT,,,133
-8477351.35772973,5314532.17185841,2024/01/27 05:00:00+00,0,545,100 WIMAN AV   ,,Motor Vehicle,MV THEFT,43.016818679,-76.153342935,134
-8476222.19571064,5322105.25149323,2024/01/19 05:00:00+00,2248,2252,1200 BUTTERNUT ST     ,,,ROBBERY,43.066539,-76.1431995,135
-8477210.04487194,5321030.15314467,2024/02/14 05:00:00+00,1200,945,600 N SALINA ST     ,,All Other,LARCENY,43.0594830000001,-76.1520735,136
-8478409.79057264,5315234.4327744,2024/01/01 05:00:00+00,247,247,100 CHARMOUTH DR     ,,Motor Vehicle,MV THEFT,43.0214310000001,-76.1628509989999,137
-8471865.66970113,5319899.28671592,2024/02/05 05:00:00+00,1804,1804,200 SEELEY RD     ,,Motor Vehicle,MV THEFT,43.0520601110001,-76.1040641609999,138
-8477699.96195092,5313403.7978934,2024/01/22 05:00:00+00,2019,2019,0 VALLEY DR & BALLANTYNE RD    ,,Motor Vehicle,MV THEFT,43.0094070000001,-76.1564744999999,139
-8480661.42074721,5316922.0940235,2024/01/05 05:00:00+00,800,1019,100 WOLCOTT AV ,,,AGGRAVATED ASSAULT,43.0325138330001,-76.183077737,140
-8474944.80455378,5319302.57567808,2024/01/07 05:00:00+00,1406,1406,1200 E FAYETTE ST   ,,All Other,LARCENY,43.048143,-76.1317245,141
