X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,latitude,longitude,CRIME_WEIGHT
-8479345.04138586,5320192.37528778,2023/07/12 04:00:00+00,1536,1536,1000 W  GENESEE ST     ,OFFN AGAINST FAMILY,43.053899261426196,-76.17125701219402,214
-8476388.50702988,5321375.70697708,2023/07/13 04:00:00+00,1555,1555,800 BUTTERNUT ST     ,ALL OTHER OFFENSES,43.06179889632048,-76.14481403396698,127
-8477231.08414438,5318644.53494196,2023/07/13 04:00:00+00,1751,1751,500 S  SALINA ST     ,SIMPLE ASSAULT,43.043874863607265,-76.15203563897467,254
-8478137.92199341,5316115.15188595,2023/03/24 04:00:00+00,1609,1609,0 CENTENNIAL DR     ,SIMPLE ASSAULT,43.02719907072442,-76.16040982216674,150
-8476281.80740928,5320496.76379018,2023/07/14 04:00:00+00,1602,1602,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
-8477443.98289316,5319085.96548592,2023/07/14 04:00:00+00,1922,1930,500 S  CLINTON ST     ,POSSESSION/USE DRUG,43.04683069505183,-76.15427865023193,192
-8477567.71439586,5312688.6322306,2023/07/14 04:00:00+00,2235,2235,100 SMITH LN     ,SIMPLE ASSAULT,43.00484015925489,-76.15535255347613,109
-8478137.92199341,5316115.15188595,2023/03/24 04:00:00+00,1708,1708,0 CENTENNIAL DR     ,SIMPLE ASSAULT,43.02719907072442,-76.16040982216674,150
-8475701.13622487,5320682.19898866,2023/03/24 04:00:00+00,2249,2249,900 JAMES ST     ,SIMPLE ASSAULT,43.057241383740845,-76.13855932678966,153
-8477231.08414438,5318644.53494196,2023/07/17 04:00:00+00,1157,1157,500 S  SALINA ST     ,OFFN AGAINST FAMILY,43.043874863607265,-76.15203563897467,254
-8476769.7206261,5319449.27024237,2023/07/17 04:00:00+00,1506,1506,300 E  WASHINGTON ST     ,CRIMINAL MISCHIEF,43.0490299,-76.14863919999999,237
-8476201.57121462,5320346.27976116,2023/04/06 04:00:00+00,50,113,700 JAMES ST     ,SIMPLE ASSAULT,43.05503598616807,-76.14305352257017,294
-8475422.64903399,5315291.62091939,2023/04/07 04:00:00+00,28,28,100 RONEY LN     ,SIMPLE ASSAULT,43.02181089780518,-76.13597471181501,127
-8476631.03001023,5321087.4006888,2023/04/07 04:00:00+00,1635,1635,600 BUTTERNUT ST     ,SIMPLE ASSAULT,43.059839772404125,-76.14689103000919,220
-8475634.45195371,5318461.85734246,2023/04/08 04:00:00+00,100,101,700 IRVING AVE    ,SIMPLE ASSAULT,43.042623411940475,-76.13784610601408,112
-8475634.45195371,5318461.85734246,2023/04/08 04:00:00+00,1657,1657,700 IRVING AVE    ,SIMPLE ASSAULT,43.042623411940475,-76.13784610601408,112
-8473510.29873742,5319566.41809293,2023/04/09 04:00:00+00,9,9,1800 ERIE BLVD E ,SIMPLE ASSAULT,43.04992662227551,-76.11886561809011,100
-8476201.57121462,5320346.27976116,2023/04/11 04:00:00+00,2,2,700 JAMES ST     ,SIMPLE ASSAULT,43.05503598616807,-76.14305352257017,294
-8479122.98293542,5317502.05369699,2023/04/11 04:00:00+00,232,232,200 FITCH ST     ,OFFN AGAINST FAMILY,43.03626820701083,-76.1692996593745,162
-8475701.13622487,5320682.19898866,2023/04/12 04:00:00+00,1121,1620,900 JAMES ST     ,ALL OTHER OFFENSES,43.057241383740845,-76.13855932678966,153
-8476116.2035254,5313612.55726969,2023/04/12 04:00:00+00,2037,2043,100 BALLANTYNE RD     ,SIMPLE ASSAULT,43.010720655296716,-76.14224415464335,230
-8475422.64903399,5315291.62091939,2023/04/13 04:00:00+00,1112,1112,100 RONEY LN     ,SIMPLE ASSAULT,43.02181089780518,-76.13597471181501,127
-8475634.45195371,5318461.85734246,2023/04/28 04:00:00+00,1024,1024,700 IRVING AVE    ,CRIMINAL MISCHIEF,43.042623411940475,-76.13784610601408,112
-8476201.57121462,5320346.27976116,2023/04/14 04:00:00+00,1605,1736,700 JAMES ST     ,SIMPLE ASSAULT,43.05503598616807,-76.14305352257017,294
-8476769.7206261,5319449.27024237,2023/08/23 04:00:00+00,0,609,300 E  WASHINGTON ST     ,CRIMINAL MISCHIEF,43.0490299,-76.14863919999999,237
-8478888.18619564,5317945.41743032,2023/07/18 04:00:00+00,1349,1349,200 SABINE ST     ,POSSESSION/USE DANGEROUS WEAPONS,43.03938619651163,-76.16708349636676,152
-8476388.50702988,5321375.70697708,2023/08/12 04:00:00+00,1703,1703,800 BUTTERNUT ST     ,POSSESSION/USE DRUG,43.06179889632048,-76.14481403396698,127
-8475701.13622487,5320682.19898866,2023/03/30 04:00:00+00,2012,2033,900 JAMES ST     ,OFFN AGAINST FAMILY,43.057241383740845,-76.13855932678966,153
-8477567.71439586,5312688.6322306,2023/07/18 04:00:00+00,1620,1620,100 SMITH LN     ,CRIMINAL MISCHIEF,43.00484015925489,-76.15535255347613,109
-8477567.71439586,5312688.6322306,2023/07/19 04:00:00+00,2223,14,100 SMITH LN     ,SIMPLE ASSAULT,43.00484015925489,-76.15535255347613,109
-8476281.80740928,5320496.76379018,2023/08/12 04:00:00+00,2231,2300,500 CATHERINE ST     ,OFFN AGAINST FAMILY,43.055930781067154,-76.14385752288506,124
